method,seed,n,dataset,split_seed,ade_m,fde_m,normalized_ade,path_length_ratio,ade_short_m,ade_medium_m,ade_long_m,n_short,n_medium,n_long,land_pct_10,cross_pct_10,max_pen_km_mean,smoothness,gt_smoothness
v10_router,42,500,trajgen_128_clean.npz,42,6347.81494140625,969.1920776367188,0.05838330090045929,1.009292721748352,nan,nan,nan,0,0,0,0.0,0.0,1.880211202781054,4.0747578168520704e-05,5.029068415751681e-05
retr_top1,42,500,trajgen_128_clean.npz,42,12388.283203125,12287.5966796875,0.1400010585784912,0.9990450739860535,nan,nan,nan,0,0,0,0.0,0.0,2.1460574505951833,3.5885873330698814e-06,5.029068415751681e-05
great_circle,42,500,trajgen_128_clean.npz,42,39.41814041137695,106.00031280517578,0.00018221657956019044,0.9984456300735474,nan,nan,nan,0,0,0,0.0,0.0,2.146780440143431,2.0177489204797894e-05,5.029068415751681e-05
v13_g3_l20_n50,42,500,trajgen_128_clean.npz,42,3294.583251953125,1430.8822021484375,0.046042777597904205,3.0930702686309814,nan,nan,nan,0,0,0,0.0,0.0,2.454657167474692,0.011310291476547718,5.029068415751681e-05
