method,seed,n,dataset,split_seed,ade_m,fde_m,normalized_ade,path_length_ratio,ade_short_m,ade_medium_m,ade_long_m,n_short,n_medium,n_long,land_pct_10,cross_pct_10,max_pen_km_mean,smoothness,gt_smoothness
v10_router,42,500,trajgen_128_clean.npz,42,6335.8818359375,969.1920776367188,0.05828934162855148,1.009292721748352,nan,nan,nan,0,0,0,0.0,0.0,1.880211202781054,4.0747578168520704e-05,5.029068415751681e-05
retr_top1,42,500,trajgen_128_clean.npz,42,12381.5341796875,12287.5966796875,0.1399487853050232,0.9990450739860535,nan,nan,nan,0,0,0,0.0,0.0,2.1460574505951833,3.5885873330698814e-06,5.029068415751681e-05
great_circle,42,500,trajgen_128_clean.npz,42,621.55322265625,405.4011535644531,0.003716429229825735,0.9876606464385986,nan,nan,nan,0,0,0,0.0046875,0.2,2.180450483883202,1.666789557930315e-06,5.029068415751681e-05
v13_g3_l20_n50,42,500,trajgen_128_clean.npz,42,15716.302734375,2990.910400390625,0.19978460669517517,2.395565986633301,nan,nan,nan,0,0,0,0.1796875,1.7999999999999998,3.748722482415067,0.02279716730117798,5.029068415751681e-05
