method,seed,n,dataset,split_seed,ade_m,fde_m,normalized_ade,path_length_ratio,ade_short_m,ade_medium_m,ade_long_m,n_short,n_medium,n_long,land_pct_10,cross_pct_10,max_pen_km_mean,smoothness,gt_smoothness
v10_router,42,500,trajgen_128_clean.npz,42,6350.60888671875,969.1920776367188,0.058362387120723724,1.009292721748352,nan,nan,nan,0,0,0,0.0,0.0,1.880211202781054,4.0747578168520704e-05,5.029068415751681e-05
retr_top1,42,500,trajgen_128_clean.npz,42,12387.30859375,12287.5966796875,0.1399616152048111,0.9990450739860535,nan,nan,nan,0,0,0,0.0,0.0,2.1460574505951833,3.5885873330698814e-06,5.029068415751681e-05
great_circle,42,500,trajgen_128_clean.npz,42,1965.990234375,467.2655029296875,0.012534188106656075,0.9769976139068604,nan,nan,nan,0,0,0,0.234375,2.1999999999999997,2.577881846005999,3.982542864378047e-07,5.029068415751681e-05
v13_g3_l20_n50,42,500,trajgen_128_clean.npz,42,16774.38671875,3159.5576171875,0.20485897362232208,1.9740617275238037,nan,nan,nan,0,0,0,0.165625,1.4000000000000001,3.784321451155493,0.010994594544172287,5.029068415751681e-05
