method,seed,n,dataset,split_seed,ade_m,fde_m,normalized_ade,path_length_ratio,ade_short_m,ade_medium_m,ade_long_m,n_short,n_medium,n_long,land_pct_10,cross_pct_10,max_pen_km_mean,smoothness,gt_smoothness
v10_router,42,500,trajgen_128_clean.npz,42,6282.3388671875,560.6275024414062,0.057879071682691574,1.009292721748352,2196.849609375,7552.5576171875,25579.05078125,196,281,23,0.0,0.0,1.880211202781054,4.0747578168520704e-05,5.029068415751681e-05
retr_top1,42,500,trajgen_128_clean.npz,42,12373.4619140625,12282.666015625,0.13989126682281494,0.9990450739860535,5514.7041015625,15792.6015625,29049.021484375,196,281,23,0.0,0.0,2.1460574505951833,3.5885873330698814e-06,5.029068415751681e-05
great_circle,42,500,trajgen_128_clean.npz,42,9303.6650390625,0.10722869634628296,0.05656580999493599,0.9602622985839844,1495.565673828125,10715.078125,58598.46875,196,281,23,2.9156250000000004,9.0,4.81767329435253,3.971795115020882e-11,5.029068415751681e-05
