method,seed,n,dataset,k_anchor,ade_m,fde_m,normalized_ade,path_length_ratio
v10_dma,0,500,dma_128_test.npz,4,5698.7900390625,512.9754028320312,0.02892802469432354,0.9848596453666687
v10_dma,1,500,dma_128_test.npz,4,5815.37353515625,529.3833618164062,0.028342226520180702,0.9849937558174133
v10_dma,2,500,dma_128_test.npz,4,5819.533203125,578.6597290039062,0.027862289920449257,0.9860453605651855
v10_dma,42,500,dma_128_test.npz,4,5870.9599609375,555.1868896484375,0.027496181428432465,0.9846940040588379
v10_dma,123,500,dma_128_test.npz,4,5900.12353515625,547.5769653320312,0.027840392664074898,0.9854220151901245
retr_top1,0,500,dma_128_test.npz,4,5991.275390625,1245.384521484375,0.030423514544963837,0.9987958669662476
retr_top1,1,500,dma_128_test.npz,4,5918.70751953125,1285.0892333984375,0.027987617999315262,0.9998804330825806
retr_top1,2,500,dma_128_test.npz,4,5721.658203125,1218.1094970703125,0.026549121364951134,0.9993696212768555
retr_top1,42,500,dma_128_test.npz,4,5896.2900390625,1235.8902587890625,0.026593860238790512,0.999380886554718
retr_top1,123,500,dma_128_test.npz,4,5899.00439453125,1415.447265625,0.027813147753477097,0.9982513189315796
great_circle,0,500,dma_128_test.npz,4,6212.705078125,1081.8875732421875,0.024832317605614662,0.9336170554161072
great_circle,1,500,dma_128_test.npz,4,6267.861328125,1154.4930419921875,0.02444743923842907,0.9349216222763062
great_circle,2,500,dma_128_test.npz,4,6419.26318359375,1114.193359375,0.02478010579943657,0.9330018758773804
great_circle,42,500,dma_128_test.npz,4,6298.86181640625,1113.61083984375,0.024351799860596657,0.9335653781890869
great_circle,123,500,dma_128_test.npz,4,6282.0751953125,1103.751220703125,0.024498149752616882,0.932590126991272
traisformer,0,500,dma_128_test.npz,4,9530.689453125,15485.74609375,0.04507998004555702,1.014578104019165
traisformer,1,500,dma_128_test.npz,4,9628.228515625,15228.4208984375,0.04299446567893028,1.0128638744354248
traisformer,2,500,dma_128_test.npz,4,10051.7578125,13554.623046875,0.04347609356045723,1.0138754844665527
traisformer,42,500,dma_128_test.npz,4,9548.5546875,14819.1943359375,0.04466722905635834,1.0149385929107666
traisformer,123,500,dma_128_test.npz,4,9234.1279296875,13638.4189453125,0.0442357175052166,1.013437032699585
