method,n_seeds,ade_m_mean,ade_m_std,fde_m_mean,fde_m_std,normalized_ade_mean,normalized_ade_std
v10_dma,5,5811.78095703125,68.90761776254772,544.756689453125,22.416189028448226,0.02804209180176258,0.0004951999634698251
retr_top1,5,5884.06572265625,88.68490922387149,1279.9841552734374,71.19858956755746,0.027862197905778884,0.0014046000235002681
great_circle,5,507.3412658691406,7.5852772206971695,329.10642700195314,14.981664190658496,0.0019698177464306356,1.298484228952975e-05
traisformer,5,23160.319921875,661.0878720571069,57314.6515625,1749.385390919312,0.09938258528709412,0.004245903115454902
