method,n_seeds,ade_m_mean,ade_m_std,fde_m_mean,fde_m_std,normalized_ade_mean,normalized_ade_std
v10_dma,5,5826.67294921875,68.52052092500587,544.756689453125,22.416189028448226,0.02811409570276737,0.0004998549584459361
retr_top1,5,5906.24580078125,89.8610172268788,1279.9841552734374,71.19858956755746,0.027957268059253693,0.001418506651659156
great_circle,5,54.40010757446289,0.9825096318733979,83.27790985107421,7.418348777894532,0.00020874391484539955,2.6370405417231407e-06
traisformer,5,23137.83671875,660.2463994412682,57314.6515625,1749.385390919312,0.09929261952638627,0.004240295842303933
