method,n_seeds,ade_m_mean,ade_m_std,fde_m_mean,fde_m_std,normalized_ade_mean,normalized_ade_std,ade_short_m_mean,ade_short_m_std,ade_medium_m_mean,ade_medium_m_std,ade_long_m_mean,ade_long_m_std,land_pct_10_mean,land_pct_10_std,cross_pct_10_mean,cross_pct_10_std,max_pen_km_mean_mean,max_pen_km_mean_std
v10_router,1,6282.3388671875,0.0,560.6275024414062,0.0,0.057879071682691574,0.0,2196.849609375,0.0,7552.5576171875,0.0,25579.05078125,0.0,0.0,0.0,0.0,0.0,1.880211202781054,0.0
retr_top1,1,12373.4619140625,0.0,12282.666015625,0.0,0.13989126682281494,0.0,5514.7041015625,0.0,15792.6015625,0.0,29049.021484375,0.0,0.0,0.0,0.0,0.0,2.1460574505951833,0.0
great_circle,1,9303.6650390625,0.0,0.10722869634628296,0.0,0.05656580999493599,0.0,1495.565673828125,0.0,10715.078125,0.0,58598.46875,0.0,2.9156250000000004,0.0,9.0,0.0,4.81767329435253,0.0
v13_g3_l20_n50,1,17468.859375,0.0,0.0,0.0,0.21998471021652222,0.0,9543.7490234375,0.0,21628.189453125,0.0,34188.44140625,0.0,0.1921875,0.0,1.6,0.0,3.8478533200746834,0.0
