method,n_seeds,ade_m_mean,ade_m_std,fde_m_mean,fde_m_std,normalized_ade_mean,normalized_ade_std
v10_dma,5,5820.9560546875,68.8848386927082,544.7564697265625,22.41672814933477,0.028093823045492173,0.0004965091591923542
retr_top1,5,5885.387109375,88.80769889111902,1279.9841552734374,71.19858956755746,0.02787345238029957,0.0014078846662322307
great_circle,5,6296.1533203125,68.00825528986135,1113.58720703125,23.559578614367666,0.024581962451338767,0.0001897547739181428
traisformer,5,9598.6716796875,263.1296608123084,14545.2806640625,803.7394099240237,0.044090697169303895,0.000763093913009473
