method,seed,n,dataset,k_anchor,ade_m,fde_m,normalized_ade,path_length_ratio
v10_dma,0,500,dma_128_test.npz,16,5690.01416015625,512.9771118164062,0.028875695541501045,0.9848596453666687
v10_dma,1,500,dma_128_test.npz,16,5805.64892578125,529.3825073242188,0.02828778326511383,0.9849937558174133
v10_dma,2,500,dma_128_test.npz,16,5809.51025390625,578.6590576171875,0.027807801961898804,0.9860453605651855
v10_dma,42,500,dma_128_test.npz,16,5862.7353515625,555.18701171875,0.027447910979390144,0.9846940040588379
v10_dma,123,500,dma_128_test.npz,16,5890.99609375,547.5777587890625,0.02779126726090908,0.9854220151901245
retr_top1,0,500,dma_128_test.npz,16,5990.107421875,1245.384521484375,0.030407283455133438,0.9987958669662476
retr_top1,1,500,dma_128_test.npz,16,5915.5478515625,1285.0892333984375,0.027971165254712105,0.9998804330825806
retr_top1,2,500,dma_128_test.npz,16,5720.5126953125,1218.1094970703125,0.026537220925092697,0.9993696212768555
retr_top1,42,500,dma_128_test.npz,16,5896.46923828125,1235.8902587890625,0.026590870693325996,0.999380886554718
retr_top1,123,500,dma_128_test.npz,16,5897.69140625,1415.447265625,0.027804449200630188,0.9982513189315796
great_circle,0,500,dma_128_test.npz,16,496.2099304199219,303.9595642089844,0.0019599345978349447,0.9896537661552429
great_circle,1,500,dma_128_test.npz,16,504.6261901855469,345.66131591796875,0.001955917105078697,0.9896754026412964
great_circle,2,500,dma_128_test.npz,16,519.45361328125,338.6026916503906,0.001987794181331992,0.9893721342086792
great_circle,42,500,dma_128_test.npz,16,510.2320861816406,336.5673828125,0.0019624230917543173,0.989260196685791
great_circle,123,500,dma_128_test.npz,16,506.18450927734375,320.7411804199219,0.001983019756153226,0.9894115924835205
traisformer,0,500,dma_128_test.npz,16,22523.314453125,56233.96484375,0.097590371966362,0.9878287315368652
traisformer,1,500,dma_128_test.npz,16,22770.908203125,56491.26953125,0.09582850337028503,0.9901543259620667
traisformer,2,500,dma_128_test.npz,16,22694.041015625,55382.0625,0.09461896121501923,0.9902516603469849
traisformer,42,500,dma_128_test.npz,16,24291.55859375,60319.49609375,0.1039387509226799,0.9866856336593628
traisformer,123,500,dma_128_test.npz,16,23521.77734375,58146.46484375,0.10493633896112442,0.9929806590080261
