method,n_seeds,ade_m_mean,ade_m_std,fde_m_mean,fde_m_std,normalized_ade_mean,normalized_ade_std
v10_dma,5,5758.4724609375,68.2904609557758,0.0,0.0,0.02778482660651207,0.0004906621875189992
retr_top1,5,5843.6408203125,88.19714470921346,1197.31337890625,82.88378405467289,0.02768283523619175,0.0013941737576524669
great_circle,5,25571.489453125,122.15401777982342,0.06782878041267396,0.004602843334919886,0.10370349735021592,0.0012582417576145724
traisformer,5,23210.508984375,662.3533909787249,57874.03828125,1752.9408165879306,0.09960031658411025,0.004250678967167904
