method,n_seeds,ade_m_mean,ade_m_std,fde_m_mean,fde_m_std,normalized_ade_mean,normalized_ade_std
v10_dma,5,5817.30458984375,69.12928867135801,544.756689453125,22.416189028448226,0.028062484040856362,0.0004941938919037971
retr_top1,5,5886.683984375,88.64293217064208,1279.9841552734374,71.19858956755746,0.027870123460888862,0.0014061927797682997
great_circle,5,1675.5846923828126,25.543661628749486,644.3011840820312,25.69790590790249,0.0064956432208418844,4.3730897345365694e-05
traisformer,5,23161.3375,660.4064890498229,57314.6515625,1749.385390919312,0.09938320219516754,0.004243431453732869
