method,n_seeds,ade_m_mean,ade_m_std,fde_m_mean,fde_m_std,normalized_ade_mean,normalized_ade_std
v10_dma,5,5817.30419921875,69.13027527462287,544.7564697265625,22.41672814933477,0.028062477335333826,0.0004941906784757354
retr_top1,5,5886.683984375,88.64293217064208,1279.9841552734374,71.19858956755746,0.027870123833417894,0.0014061934549606217
great_circle,5,1675.58466796875,25.543703151983802,644.3011840820312,25.69790590790249,0.006495643127709627,4.373095455274026e-05
traisformer,5,9596.7013671875,263.38897625730897,14545.2806640625,803.7394099240237,0.04408153668045998,0.000757460710215518
