method,n_seeds,ade_m_mean,ade_m_std,fde_m_mean,fde_m_std,normalized_ade_mean,normalized_ade_std
v10_dma,5,5820.956640625,68.8841263170776,544.756689453125,22.416189028448226,0.02809382975101471,0.0004965115758215382
retr_top1,5,5885.3869140625,88.80805897604257,1279.9841552734374,71.19858956755746,0.02787345238029957,0.0014078846662322307
great_circle,5,6296.1533203125,68.00825528986135,1113.58720703125,23.559578614367666,0.02458196207880974,0.0001897549384617098
traisformer,5,23150.016796875,659.5911431654256,57314.6515625,1749.385390919312,0.09933677911758423,0.004238860566637427
