method,seed,n,dataset,split_seed,ade_m,fde_m,normalized_ade,path_length_ratio,ade_short_m,ade_medium_m,ade_long_m,n_short,n_medium,n_long,land_pct_10,cross_pct_10,max_pen_km_mean,smoothness,gt_smoothness
v10_router,42,500,trajgen_128_clean.npz,42,6335.95654296875,969.1920776367188,0.05827907472848892,1.009292721748352,nan,nan,nan,0,0,0,0.0,0.0,1.880211202781054,4.0747578168520704e-05,5.029068415751681e-05
retr_top1,42,500,trajgen_128_clean.npz,42,12385.4833984375,12287.5966796875,0.1399601250886917,0.9990450739860535,nan,nan,nan,0,0,0,0.0,0.0,2.1460574505951833,3.5885873330698814e-06,5.029068415751681e-05
great_circle,42,500,trajgen_128_clean.npz,42,227.52264404296875,329.5684509277344,0.0012620956404134631,0.992283046245575,nan,nan,nan,0,0,0,0.0,0.0,2.128281936884737,3.351568238940672e-06,5.029068415751681e-05
