method,seed,n,dataset,k_anchor,ade_m,fde_m,normalized_ade,path_length_ratio
v10_dma,0,500,dma_128_test.npz,16,5690.01220703125,512.9754028320312,0.0288756862282753,0.9848596453666687
v10_dma,1,500,dma_128_test.npz,16,5805.6484375,529.3833618164062,0.028287775814533234,0.9849937558174133
v10_dma,2,500,dma_128_test.npz,16,5809.51025390625,578.6597290039062,0.027807800099253654,0.9860453605651855
v10_dma,42,500,dma_128_test.npz,16,5862.7353515625,555.1868896484375,0.027447907254099846,0.9846940040588379
v10_dma,123,500,dma_128_test.npz,16,5890.99560546875,547.5769653320312,0.027791263535618782,0.9854220151901245
retr_top1,0,500,dma_128_test.npz,16,5990.107421875,1245.384521484375,0.030407283455133438,0.9987958669662476
retr_top1,1,500,dma_128_test.npz,16,5915.5478515625,1285.0892333984375,0.027971165254712105,0.9998804330825806
retr_top1,2,500,dma_128_test.npz,16,5720.5126953125,1218.1094970703125,0.026537220925092697,0.9993696212768555
retr_top1,42,500,dma_128_test.npz,16,5896.46923828125,1235.8902587890625,0.026590870693325996,0.999380886554718
retr_top1,123,500,dma_128_test.npz,16,5897.69140625,1415.447265625,0.027804449200630188,0.9982513189315796
great_circle,0,500,dma_128_test.npz,16,496.2099304199219,303.9595642089844,0.0019599345978349447,0.9896537661552429
great_circle,1,500,dma_128_test.npz,16,504.6261901855469,345.66131591796875,0.001955917105078697,0.9896754026412964
great_circle,2,500,dma_128_test.npz,16,519.45361328125,338.6026916503906,0.001987794181331992,0.9893721342086792
great_circle,42,500,dma_128_test.npz,16,510.2320861816406,336.5673828125,0.0019624230917543173,0.989260196685791
great_circle,123,500,dma_128_test.npz,16,506.18450927734375,320.7411804199219,0.001983019756153226,0.9894115924835205
traisformer,0,500,dma_128_test.npz,16,9527.72265625,15485.74609375,0.04506475478410721,1.014578104019165
traisformer,1,500,dma_128_test.npz,16,9629.05859375,15228.4208984375,0.042998284101486206,1.0128638744354248
traisformer,2,500,dma_128_test.npz,16,10049.5947265625,13554.623046875,0.043467022478580475,1.0138754844665527
traisformer,42,500,dma_128_test.npz,16,9547.1494140625,14819.1943359375,0.044653717428445816,1.0149385929107666
traisformer,123,500,dma_128_test.npz,16,9232.3515625,13638.4189453125,0.04422679916024208,1.013437032699585
