method,seed,n,dataset,k_anchor,ade_m,fde_m,normalized_ade,path_length_ratio
v10_dma,0,500,dma_128_test.npz,4,5698.79248046875,512.9771118164062,0.028928034007549286,0.9848596453666687
v10_dma,1,500,dma_128_test.npz,4,5815.37353515625,529.3825073242188,0.028342237696051598,0.9849937558174133
v10_dma,2,500,dma_128_test.npz,4,5819.533203125,578.6590576171875,0.027862291783094406,0.9860453605651855
v10_dma,42,500,dma_128_test.npz,4,5870.95947265625,555.18701171875,0.027496185153722763,0.9846940040588379
v10_dma,123,500,dma_128_test.npz,4,5900.12451171875,547.5777587890625,0.027840400114655495,0.9854220151901245
retr_top1,0,500,dma_128_test.npz,4,5991.275390625,1245.384521484375,0.030423514544963837,0.9987958669662476
retr_top1,1,500,dma_128_test.npz,4,5918.70751953125,1285.0892333984375,0.027987617999315262,0.9998804330825806
retr_top1,2,500,dma_128_test.npz,4,5721.6572265625,1218.1094970703125,0.026549121364951134,0.9993696212768555
retr_top1,42,500,dma_128_test.npz,4,5896.2900390625,1235.8902587890625,0.026593860238790512,0.999380886554718
retr_top1,123,500,dma_128_test.npz,4,5899.00439453125,1415.447265625,0.027813147753477097,0.9982513189315796
great_circle,0,500,dma_128_test.npz,4,6212.705078125,1081.8875732421875,0.024832317605614662,0.9336170554161072
great_circle,1,500,dma_128_test.npz,4,6267.861328125,1154.4930419921875,0.02444743923842907,0.9349216222763062
great_circle,2,500,dma_128_test.npz,4,6419.26318359375,1114.193359375,0.02478010579943657,0.9330018758773804
great_circle,42,500,dma_128_test.npz,4,6298.86181640625,1113.61083984375,0.024351799860596657,0.9335653781890869
great_circle,123,500,dma_128_test.npz,4,6282.0751953125,1103.751220703125,0.024498147889971733,0.932590126991272
traisformer,0,500,dma_128_test.npz,4,22513.35546875,56233.96484375,0.09754202514886856,0.9878287315368652
traisformer,1,500,dma_128_test.npz,4,22761.326171875,56491.26953125,0.09578654170036316,0.9901543259620667
traisformer,2,500,dma_128_test.npz,4,22686.255859375,55382.0625,0.09458714723587036,0.9902516603469849
traisformer,42,500,dma_128_test.npz,4,24278.68359375,60319.49609375,0.10388176888227463,0.9866856336593628
traisformer,123,500,dma_128_test.npz,4,23510.462890625,58146.46484375,0.10488641262054443,0.9929806590080261
