variant,seed,n,dataset,split_seed,ade_m,fde_m,normalized_ade,path_length_ratio,ade_short_m,ade_medium_m,ade_long_m,n_short,n_medium,n_long,land_pct_10,cross_pct_10,land_pct_25,cross_pct_25,max_pen_km_mean,smoothness,gt_smoothness
v10_hardproj,0,500,trajgen_128_clean.npz,42,6396.66015625,0.0,0.05617958679795265,0.9869589805603027,2168.335205078125,7292.330078125,30370.875,200,275,25,0.0,0.0,0.0,0.0,2.6451925248264416,0.00014654090045951307,3.7657946450053714e-06
v10_hardproj,1,500,trajgen_128_clean.npz,42,6209.9560546875,0.001139223575592041,0.057139236479997635,0.9865754246711731,2015.8564453125,7787.2421875,35066.50390625,217,266,17,0.0,0.0,0.0,0.0,2.59861867975244,4.283214730094187e-05,3.7598917970171897e-06
v10_hardproj,2,500,trajgen_128_clean.npz,42,6108.84521484375,0.0,0.05663216486573219,0.9944311380386353,2111.888427734375,7399.91845703125,36459.265625,210,274,16,0.0,0.0,0.0,0.0,2.5059353605132464,0.00026388082187622786,2.9711088700423716e-06
v10_hardproj,42,500,trajgen_128_clean.npz,42,6579.06982421875,0.0,0.05764380842447281,0.9909177422523499,2137.813232421875,7862.841796875,28741.962890625,196,281,23,0.0,0.0,0.0,0.0,2.415663023875457,0.00026077558868564665,5.029068415751681e-05
v10_hardproj,123,500,trajgen_128_clean.npz,42,6611.33447265625,0.0,0.05595190450549126,0.9927626848220825,1953.837158203125,7860.09228515625,45617.73828125,208,276,16,0.0,0.0,0.0,0.0,2.7307654335208613,0.00038094224873930216,4.392893970361911e-06
v10_router,0,500,trajgen_128_clean.npz,42,5276.3,644.4,0.0565086230635643,1.0050466060638428,2228.150634765625,7278.34130859375,22806.3984375,200,275,25,0.0,0.0,0.0,0.0,2.133419488422135,4.91498431074433e-05,3.7657946450053714e-06
v10_router,1,500,trajgen_128_clean.npz,42,6289.5,602.9,0.05795535072684288,1.0086606740951538,2083.9658203125,7534.1044921875,35085.9375,217,266,17,0.0,0.0,0.0,0.0,2.1600932529223957,3.363116047694348e-05,3.7598917970171897e-06
v10_router,2,500,trajgen_128_clean.npz,42,5938.5,636.0,0.05672064051032066,1.0099482536315918,2164.673828125,7252.56396484375,23431.42578125,210,274,16,0.0,0.0,0.0,0.0,1.9572857371453316,6.0857008065795526e-05,2.9711088700423716e-06
v10_router,42,500,trajgen_128_clean.npz,42,6292.6,571.1,0.057879071682691574,1.009292721748352,2196.849609375,7552.5576171875,25579.05078125,196,281,23,0.0,0.0,0.0,0.0,1.880211202781054,4.0747578168520704e-05,5.029068415751681e-05
v10_router,123,500,trajgen_128_clean.npz,42,5853.7,583.7,0.056459106504917145,1.0099915266036987,2012.373779296875,7968.31689453125,30179.34375,208,276,16,0.003,0.2,0.0,0.0,2.1691486001595828,9.854471136350185e-05,4.392893970361911e-06
retr_top1,0,500,trajgen_128_clean.npz,42,12170.23046875,12428.2646484375,0.11661384999752045,0.9993564486503601,4387.03125,15649.63671875,36162.34375,200,275,25,0.0,0.0,0.0,0.0,2.2746176585555644,5.9250050981063396e-06,3.7657946450053714e-06
retr_top1,1,500,trajgen_128_clean.npz,42,10679.83203125,11407.833984375,0.11505959928035736,0.999024510383606,4305.64697265625,13729.62109375,44324.1875,217,266,17,0.0,0.0,0.0,0.0,2.289575944547531,2.6842451461561723e-06,3.7598917970171897e-06
retr_top1,2,500,trajgen_128_clean.npz,42,11190.1015625,11233.482421875,0.12783649563789368,0.9995425939559937,4932.55517578125,14361.58203125,39008.8125,210,274,16,0.0,0.0,0.0,0.0,2.2593734703772697,2.775921529973857e-06,2.9711088700423716e-06
retr_top1,42,500,trajgen_128_clean.npz,42,12373.4619140625,12282.666015625,0.13989126682281494,0.9990450739860535,5514.7041015625,15792.6015625,29049.021484375,196,281,23,0.0,0.0,0.0,0.0,2.1460574505951833,3.5885873330698814e-06,5.029068415751681e-05
retr_top1,123,500,trajgen_128_clean.npz,42,11922.392578125,11809.1142578125,0.13466420769691467,0.9991986751556396,5453.322265625,15426.4365234375,35575.60546875,208,276,16,0.0,0.0,0.0,0.0,2.3530927681348257,2.5155577532132156e-06,4.392893970361911e-06
great_circle,0,500,trajgen_128_clean.npz,42,9458.662109375,0.10388937592506409,0.05602506175637245,0.9589138031005859,1485.552490234375,11125.427734375,54909.10546875,200,275,25,2.6515625000000003,9.4,0.790625,5.4,5.3406385413356245,3.8638599264562146e-11,3.7657946450053714e-06
great_circle,1,500,trajgen_128_clean.npz,42,8202.431640625,0.09168925136327744,0.05369362607598305,0.9604290127754211,1397.2091064453125,10622.587890625,57200.75390625,217,266,17,2.0609375,8.0,0.7140625,3.5999999999999996,4.512048029369983,3.765622882956343e-11,3.7598917970171897e-06
great_circle,2,500,trajgen_128_clean.npz,42,7763.3251953125,0.1007184386253357,0.0509294830262661,0.9728467464447021,1352.5447998046875,9799.3837890625,57037.30078125,210,274,16,2.446875,8.0,0.6671874999999999,3.8,4.659972722690964,3.570172976696817e-11,2.9711088700423716e-06
great_circle,42,500,trajgen_128_clean.npz,42,9303.6650390625,0.10722869634628296,0.05656580999493599,0.9602622985839844,1495.565673828125,10715.078125,58598.46875,196,281,23,2.9156250000000004,9.0,0.8640625000000001,4.3999999999999995,4.81767329435253,3.971795115020882e-11,5.029068415751681e-05
great_circle,123,500,trajgen_128_clean.npz,42,8948.990234375,0.10585813969373703,0.05515120550990105,0.960418701171875,1424.254150390625,10909.841796875,72945.875,208,276,16,3.3703125,9.6,1.2375,5.2,5.437869245038752,3.928407946163226e-11,4.392893970361911e-06
