split,comparison,n_routes,mean_diff_m,ci95_lower_m,ci95_upper_m,ci_excludes_zero
val,router - gc,2000,-1759.9008175828287,-2185.3950474069056,-1375.4826320416905,yes
val,router - retr_top1,2000,-7353.184445002077,-8087.757014306785,-6642.671964855367,yes
val,router - a_star,500,-3589.1609626743843,-4335.184641059979,-2885.84807391565,yes
test,router - gc,2326,-3538.9544756670016,-4061.8214965921234,-3027.4214360402725,yes
test,router - retr_top1,2326,-6552.141790794149,-7148.968096739401,-5962.773853735763,yes
test,router - a_star,2326,-4926.321295415748,-5413.05889690215,-4467.915301950317,yes
